Group_no,Group,Violation_no,Infraction_and_Description,Intervention_Consequence_Option_1,Intervention_Consequence_Option_2,Intervention_Consequence_Option_3,Intervention_Consequence_Option_4,Intervention_Consequence_Option_5,Intervention_Consequence_Option_6,Intervention_Consequence_Option_7
1,Inappropriate Behaviors,1,Running and/or making excessive noise in the hall or building,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,2,Leaving the classroom without permission,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,3,Engaging in any behavior that is disruptive to the orderly process of classroom instruction,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,4,"Loitering, or occupying an unauthorized place in the school or on school grounds","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,5,Failing to attend class without a valid excuse,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,6,Persistent tardiness to school or class (3 or more incidents per semester),"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,7,"Use of the CPS network for the purpose of accessing non-educational materials, such as games and other inappropriate materials","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
1,Inappropriate Behaviors,8,Unauthorized use or possession of cellular telephones or other information technology devices,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday",,,,
2,Disruptive Behavior,1,Posting or distributing unauthorized written materials on school grounds,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,2,Leaving the school without permission,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
