Group_no,Group,Violation_no,Description,Restorative_Action_1,Restorative_Action_2,Restorative_Action_3,Restorative_Action_4,Restorative_Action_5,Restorative_Action_6,Restorative_Action_7,Restorative_Action_8,Restorative_Action_9,Consequence_1,Consequence_2,Consequence_3,Consequence_4,Consequence_5,Consequence_6,Consequence_7,Summary
1,Inappropriate Behaviors,1,Running and/or making excessive noise in the hall or building,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,2,Leaving the classroom without permission,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,3,Engaging in any behavior that is disruptive to the orderly process of classroom instruction,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,4,"Loitering, or occupying an unauthorized place in the school or on school grounds",Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,5,Failing to attend class without a valid excuse,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,6,Persistent tardiness to school or class,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
1,Inappropriate Behaviors,7,"Use of the CPS network for the purpose of accessing non-educational materials, such as games, pornographic materials, and other inappropriate materials5",Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)",,,,"Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavio,"Detention – before school, after school, or Saturday",In-school suspension (one to three days),,,"Loitering/running/making loud noises in the hallways. Leaving the classroom without permission. Missing class without a valid excuse, using CPS equipment for no-educational purposes. Lowest level of infraction."
2,Disruptive Behavior,1,Posting or distributing unauthorized written materials on school grounds,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,2,Leaving the school without permission,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,3,Interfering with school authorities and programs through walkouts or sit-ins,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
